	00:00:11.394	11.394	00:00:13.060	13.06	00:00:01.666	1.666	
	00:00:15.000	15.0	00:00:17.220	17.22	00:00:02.220	2.22	
	00:00:18.450	18.45	00:00:20.100	20.1	00:00:01.650	1.65	
	00:00:21.960	21.96	00:00:23.478	23.478	00:00:01.518	1.518	
	00:00:25.110	25.11	00:00:26.590	26.59	00:00:01.480	1.48	
	00:00:31.950	31.95	00:00:33.320	33.32	00:00:01.370	1.37	
	00:00:35.360	35.36	00:00:36.800	36.8	00:00:01.440	1.44	
	00:00:38.290	38.29	00:00:39.620	39.62	00:00:01.330	1.33	
	00:00:43.350	43.35	00:00:46.040	46.04	00:00:02.690	2.69	
	00:00:46.990	46.99	00:00:49.260	49.26	00:00:02.270	2.27	
	00:00:50.520	50.52	00:00:52.610	52.61	00:00:02.090	2.09	
	00:00:53.710	53.71	00:00:55.960	55.96	00:00:02.250	2.25	
	00:00:57.340	57.34	00:00:59.550	59.55	00:00:02.210	2.21	
	00:01:00.960	60.96	00:01:03.670	63.67	00:00:02.710	2.71	
	00:01:04.672	64.672	00:01:06.580	66.58	00:00:01.908	1.908	
	00:01:08.330	68.33	00:01:10.660	70.66	00:00:02.330	2.33	
	00:01:12.206	72.206	00:01:13.324	73.324	00:00:01.118	1.118	
	00:01:14.850	74.85	00:01:17.000	77.0	00:00:02.150	2.15	
	00:01:17.769	77.769	00:01:19.980	79.98	00:00:02.211	2.211	
	00:01:20.641	80.641	00:01:22.970	82.97	00:00:02.329	2.329	
	00:01:23.860	83.86	00:01:25.570	85.57	00:00:01.710	1.71	
	00:01:26.440	86.44	00:01:28.660	88.66	00:00:02.220	2.22	
	00:01:28.832	88.832	00:01:32.450	92.45	00:00:03.618	3.618	
	00:01:34.300	94.3	00:01:36.030	96.03	00:00:01.730	1.73	
	00:01:39.876	99.876	00:01:41.680	101.68	00:00:01.804	1.804	
	00:01:43.373	103.373	00:01:45.230	105.23	00:00:01.857	1.857	
	00:01:46.530	106.53	00:01:48.410	108.41	00:00:01.880	1.88	
	00:01:49.350	109.35	00:01:52.060	112.06	00:00:02.710	2.71	
	00:01:52.570	112.57	00:01:55.860	115.86	00:00:03.290	3.29	
	00:01:56.060	116.06	00:01:57.739	117.739	00:00:01.679	1.679	
	00:01:59.490	119.49	00:02:01.440	121.44	00:00:01.950	1.95	
